Zipcode ID,Census Year,WA Zipcode,Median Household Income,Income Per Capita,Population
565,2021,98926,61839,31365,32559
566,2021,98168,71977,32867,34614
567,2021,98329,110025,42478,11175
568,2021,98373,84334,37632,29283
569,2021,98074,207341,77144,30370
570,2021,98102,102466,86507,25396
571,2021,98595,56425,30888,2698
572,2021,98683,75458,42294,31969
573,2021,98011,107109,51473,27396
574,2021,99001,51897,19334,8400
575,2021,98075,216337,85431,25762
576,2021,98040,170000,101832,25506
577,2021,98292,93558,44102,24141
578,2021,98053,160208,85266,22857
579,2021,98110,145475,78542,24557
580,2021,98032,69437,34504,38985
581,2021,98112,133267,102595,24412
582,2021,98122,87418,71064,41541
583,2021,98116,124795,76374,27190
584,2021,98002,59742,29357,35915
585,2021,98822,69531,30613,1831
586,2021,98498,77905,38650,29062
587,2021,98391,111595,47781,55662
588,2021,98106,84506,45215,27489
589,2021,98402,55250,43726,6805
590,2021,98008,147788,69642,26091
591,2021,98663,68770,35986,15263
592,2021,99212,62798,33410,20395
593,2021,98033,149131,91615,39726
594,2021,98144,90239,66670,31648
595,2021,98446,89743,40310,13068
596,2021,98107,113531,81041,27116
597,2021,98059,113618,55653,41076
598,2021,98367,92961,42640,30710
599,2021,98225,55672,34601,50046
600,2021,98661,61579,35504,49822
601,2021,99354,75365,37787,25433
602,2021,98004,154403,107665,38632
603,2021,98282,85410,48126,17235
604,2021,98801,64480,33723,44861
605,2021,98103,113443,73070,52210
606,2021,98178,87788,43528,26282
607,2021,98258,102304,39547,51374
608,2021,98684,76644,34633,34394
609,2021,98686,92450,40786,20547
610,2021,98229,77804,40779,34182
611,2021,98580,91989,42258,11358
612,2021,98332,114261,58393,19722
613,2021,98101,96893,91425,14528
614,2021,98198,69833,36630,38919
615,2021,98177,138401,68719,20561
616,2021,98607,115408,50861,34674
617,2021,99338,118186,50191,17266
618,2021,98136,130978,71069,17245
619,2021,98366,76169,35843,36620
620,2021,98105,73343,53246,49448
621,2021,98058,98648,43590,42366
622,2021,98012,127852,52227,75045
623,2021,98166,102994,54914,22599
624,2021,99352,95389,49097,34772
625,2021,98118,94790,48632,48937
626,2021,98604,93107,36638,37041
627,2021,98685,112375,51919,30199
628,2021,98121,135823,100574,21010
629,2021,99362,61068,31772,42706
630,2021,98045,123651,57468,15611
631,2021,98006,170328,76548,39595
632,2021,98034,111002,56205,52841
633,2021,98056,95088,50334,36950
634,2021,98506,79833,44416,18232
635,2021,98030,77521,31632,39526
636,2021,98274,83463,40603,18052
637,2021,98335,110776,56244,28128
638,2021,98005,145152,79035,21603
